titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
Production / Qualité / Sécurité / Maintenance- Méthodes / Process / Industrialisation- Secteur Distribution								-,,,,"Ingénieur Responsable Technique & Actifs - Casablanca Production / Qualité / Sécurité / Maintenance - Méthodes / Process / Industrialisation - Secteur Distribution								- Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Recherche de nouveauté Respect des règles Ténacité Créativité Besoin d'objectivité Flexibilité Besoin de réflexion Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 27 jours sur ReKrute.com -
                                Postulez avant le 23/04/2026 J'aime Entreprise : Une filiale du Groupe LabelVie recrute ! Poste : Rattaché à la direction des Actifs, votre rôle est d’assurer le bon état de fonctionnement des équipements du site en vue de répondre aux objectifs en matière de coût, hygiène, qualité et sécurité. Pour cela, vos domaines d’activités sont: Gestion technique du site Suivi des prestataires Maintenance préventive et curative Reporting d'exploitation Profil recherché : De formation Bac+5 Master/Ingénieur, vous justifiez d'",,CDI,5
Directeur Administratif et Financier,Aba Technology,Informatique,Casablanca (Maroc),"Emploi - Aba Technology Entreprise: Aba Technology Secteur: Informatique Postes proposés: 3 Description: ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. [-] Suivre 1                        - 3 sur 3 Page 1 sur            
             1 Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la fiscalité, le contrôle de gestion et la trésorerie dans un environnement multi-entités. Idéal pour un leader stratégique et analytique souhaitant structurer les proce","Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la f",CDI,0
RH / Personnel / Formation                                                                 - Secteur Agroalimentaire,,,,"un chargé d’administration du personnel - Casablanca RH / Personnel / Formation                                                                 - Secteur Agroalimentaire Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 
                                     - Université Respect des règles Flexibilité Ambition CDI Télétravail : Non Publiée il y a 27 jours sur ReKrute.com -
                                Postulez avant le 17/05/2026 J'aime Entreprise : Grand acteur de la restauration recrute pour son compte un (e) chargé(e) d’administration du personnel Poste : Dans le cadre du renforcement de notre équipe RH, nous recrutons un(e) Chargé(e) de l’Administration du Personnel. Missions principales : Assurer la gestion administrative du personnel ( dossiers salariés, attestations…) Suivre les entrées et sorties des collaborateurs Gérer les absences, congés et éléments variables de paie Préparer et contrôler les données liées à la paie Profil recherché : • Bac+3 à Bac+5 en Ressources Humaines ou équivalent • Première expérience réussie dans un poste si",,CDI,5
Assistant - Travel Agency - Casablanca,Hayyak Tourism,Tourisme / Voyage / Loisirs,Casablanca (Maroc),"Emploi - Hayyak Tourism Entreprise: Hayyak Tourism Secteur: Tourisme / Voyage / Loisirs Postes proposés: 1 Description: Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . [-] Suivre 1        ","Lancer 4K Assistant - Travel Agency - Casablanca | Casablanca (Maroc) 3 Hayyak Tourism recherche un(e) Assistant(e) dynamique à Casablanca pour soutenir les opérations quotidiennes et l'équipe. Ce rôle implique la gestion d'agendas, l'organisation de",CDI,0
Développeur backend .NET Core / IA (H/F),Oceane Consulting IT Maroc,Informatique,Casablanca (Maroc),"Emploi - Oceane Consulting IT Maroc Entreprise: Oceane Consulting IT Maroc Secteur: Informatique Postes proposés: 3 Description: Océane Consulting Group a été fondé fin 2008 suite au rachat d’une SSII.
La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. Depuis 2009, le chiffre d’affaires (18 M€ en 2013) a été multiplié par 6 en 5 ans.

Océane Consulting compte actuellement 250 collaborateurs intervenant en assistance technique ou en mode forfaitaire auprès de ses clients situés en Ile-de-France, dans les Régions lilloise, grand Ouest et... [+] Océane Consulting Group a été fondé fin 2008 suite au rachat d’une SSII. La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. Depuis 2009, le chiffre d’affaires (18 M€ en 2013) a été multiplié par 6 en 5 ans. Océane Consulting compte actuellement 250 collaborateurs intervenant en assistance technique ou en mode forfaitaire auprès de ses clients situés en Ile-de-France, dans les Régions lilloise, grand Ouest et lyonnaise. La culture d’entreprise est orientée vers l’Engagement, le Travail d’équipe et le Respect avec la possibilit","Lancer 4K Développeur backend .NET Core / IA (H/F) | Casablanca (Maroc) 3 Développeur Backend .NET Core / IA (H/F) recherche pour un projet innovant. Votre mission : utiliser l'IA générative pour maximiser votre productivité, définir l'architecture t",CDI,0
Commercial Terrain - Expérimenté (H/F),DECO VERRE,Autres services,Tout le Maroc (Maroc),"Emploi - DECO VERRE Entreprise: DECO VERRE Secteur: Autres services Postes proposés: 2 Description: Transformation et Décoration de Goblerie, de Verre, de Bouteilles et Bocaux Transformation et Décoration de Goblerie, de Verre, de Bouteilles et Bocaux [-] Suivre 1                        - 1 sur 1 Page 1 sur            
             1 Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de la prospection, et de la promotion de nos produits. Une expérience confirmée de 10 ans en vente et un excellent sens de la négociation sont requis. Publication : du 17/03/2026 au 13/05/2026 |  Postes proposés: 2 Secteur d'activité : Autres Industries - Autres services Fonction : Commercial / Vente / Export , Distribution (métiers de la) Expérience requise : Confirmé (5 à 10 ans) - Expert (10 à 20 ans) Niveau d'étude demandé : Bac +2 Type de contrat proposé : CDI - Télétravail : Non 1                        - 1 sur 1 Page 1 sur            
             1","Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de l",CDI,1
Order Coordinator,Hubei Forbon Technology,Agriculture / Environnement,El Jadida (Maroc),"Emploi - Hubei Forbon Technology Entreprise: Hubei Forbon Technology Secteur: Agriculture / Environnement Postes proposés: 1 Description: Forbon is a listed company, stock code 300387. In the traditional fertilizer additives, Forbon is the Asia‘s largest fertilizer additives and service enterprise. Forbon  merged  Holland Novochem company which is the leading additives European enterprises  in 2015.  Forbon  merged  french PST company which is the LDAN  additives enterprises  in 2017. Forbon became the leading company in the fertilizer additives all over the world.

In the agriculture big data and intelligent agriculture, Forbon holding  the SoilOptix company in Canada with... [+] Forbon is a listed company, stock code 300387. In the traditional fertilizer additives, Forbon is the Asia‘s largest fertilizer additives and service enterprise. Forbon  merged  Holland Novochem company which is the leading additives European enterprises  in 2015.  Forbon  merged  french PST company which is the LDAN  additives enterprises  in 2017. Forbon became the leading company in the fertilizer additives all over the world. In the agriculture big data and intelligent agriculture, Forbon holding  the","Lancer 4K Order Coordinator | El Jadida (Maroc) 4 Forbon recrute un coordinateur de commandes à El Jadida. Vos responsabilités incluent la gestion des commandes de bout en bout, la coordination logistique et la liaison avec les clients et les équipes",CDD,3
Développeur Web WordPress Junior / Stage préembauche  Casablanca,Distamed sarl,Matériel Médical,Casablanca (Maroc),"Emploi - Distamed sarl Entreprise: Distamed sarl Secteur: Matériel Médical Postes proposés: 2 Description: Distamed occupe une place de leader sur le marché marocain des dispositifs médicaux, avec un réseau puissant de partenaires, publics et privés et de nombreuses installations à travers le pays.

Depuis sa création, Distamed n’a cessé d’améliorer son savoir-faire et ses compétences pour pouvoir poursuivre les changements des systèmes de santé et concevoir des solutions globales et efficace, pour affronter les défis du quotidien. Distamed se démarque par son... [+] Distamed occupe une place de leader sur le marché marocain des dispositifs médicaux, avec un réseau puissant de partenaires, publics et privés et de nombreuses installations à travers le pays. Depuis sa création, Distamed n’a cessé d’améliorer son savoir-faire et ses compétences pour pouvoir poursuivre les changements des systèmes de santé et concevoir des solutions globales et efficace, pour affronter les défis du quotidien. Distamed se démarque par son expertise dans la vente du matériel médical le plus utilisé les domaines de cardiologie, pneumologie,neurologie, exploration du sommeil, réadaptation multidisciplinair","Lancer 4K Développeur Web WordPress Junior / Stage préembauche  Casablanca | Casablanca (Maroc) 5 Distamed recrute un Développeur Web WordPress Junior (Stage préembauche) à Casablanca. Vos missions incluront la maintenance, le développement et l'opti",CDI,0
Senior Software Engineer/JAVA/Node.js,Capgemini,Informatique,Casablanca (Maroc),"Emploi - Capgemini Entreprise: Capgemini Secteur: Informatique Postes proposés: 62 Description: Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable.

Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par... [+] Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et ","Lancer 4K Senior Software Engineer/JAVA/Node.js | Casablanca (Maroc) 1 Capgemini recrute un Développeur Java / Node.js / Angular confirmé pour ses équipes au Maroc. Vous concevrez, développerez et maintiendrez des applications backend, participerez a",CDI,0
Audit / Conseil                                                                 - Secteur Assurance / Courtage								- Banque / Finance,,,,"Auditeur interne junior - Casablanca Audit / Conseil                                                                 - Secteur Assurance / Courtage								- Banque / Finance Junior (1 à 3 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Maximum
                                     - Master Besoin d'objectivité Intuition / Spontanéité Flexibilité Besoin de réflexion Travail en équipe Equilibre personnel Ambition Improvisation CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Rejoignez une entreprise dynamique du secteur de l' Assurance en tant qu' Auditeur interne junior . Basé(e) à Casablanca , vous aurez pour mission principale de contribuer à l'évaluation et à l'amélioration des processus internes, garantissant ainsi la conformité et l'e",,CDI,5
Informatique / Electronique                                                                 - Secteur Assurance / Courtage								- Banque / Finance,,,,"Ingénieur développement .NET - casablanca Informatique / Electronique                                                                 - Secteur Assurance / Courtage								- Banque / Finance Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Master Créativité Sensibilité émotionnelle Intuition / Spontanéité Besoin d'action Besoin d'autonomie Implication au travail CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Rejoignez notre dynamique entreprise dans le secteur de l' Assurance Situé au cœur de Casablanca , nous vous proposons de vous épanouir en tant qu' In",,CDI,5
Infirmier(e) Polyvalent(e),FIGEAC Aero Maroc,Aéronautique / Spatial,Nouaceur (Maroc),"Emploi - FIGEAC Aero Maroc Entreprise: FIGEAC Aero Maroc Secteur: Aéronautique / Spatial Description: FIGEAC AERO est créé en 1989, Spécialisée dans la fourniture de pièces de petites, moyennes et grandes dimensions. C’est à partir de 1994, qu’un groupe se forme et compte aujourd’hui 8 filiales (MTI, Mécabrive, Figeac Aero Tunisie, Figeac Aero Maroc, Figeac Aero North America, Figeac Aero Mexique, Figeac Aero Saint-Nazaire, Figeac Aero Picardie) et deux partenaires (Avantis et Usicap). Certifiée depuis 2006 par l’AFAQ, l’entreprise en forte croissance met en avant de nouveaux projets... [+] FIGEAC AERO est créé en 1989, Spécialisée dans la fourniture de pièces de petites, moyennes et grandes dimensions. C’est à partir de 1994, qu’un groupe se forme et compte aujourd’hui 8 filiales (MTI, Mécabrive, Figeac Aero Tunisie, Figeac Aero Maroc, Figeac Aero North America, Figeac Aero Mexique, Figeac Aero Saint-Nazaire, Figeac Aero Picardie) et deux partenaires (Avantis et Usicap). Certifiée depuis 2006 par l’AFAQ, l’entreprise en forte croissance met en avant de nouveaux projets d’investissements et de management (nouvelles acquisitions de machines, agrandissement des locaux, miseen place d","Lancer 4K Infirmier(e) Polyvalent(e) | Nouaceur (Maroc) 4 FIGEAC AERO recherche un(e) Infirmier(e) Polyvalent(e) pour des soins préventifs, la prise en charge des urgences et le suivi médical en milieu industriel. Le poste requiert un diplôme d'infir",CDI,0
Chargé(e) de Relation Client,Clinique La Vallée,Pharmacie / Santé,Tanger (Maroc),"Emploi - Clinique La Vallée Entreprise: Clinique La Vallée Secteur: Pharmacie / Santé Postes proposés: 4 Description: Clinique La Vallée, située à Rabat, est un établissement de référence en psychiatrie, santé mentale et addictologie.
Nous offrons un cadre de soins humain, sécurisé et innovant, porté par une équipe pluridisciplinaire engagée.
Notre clinique s’inscrit dans une démarche qualité ISO 9001 et valorise la formation continue.
Rejoignez un environnement stimulant, dédié au bien-être et à l'autonomie des patients. Clinique La Vallée, située à Rabat, est un établissement de référence en psychiatrie, santé mentale et addictologie. Nous offrons un cadre de soins humain, sécurisé et innovant, porté par une équipe pluridisciplinaire engagée. Notre clinique s’inscrit dans une démarche qualité ISO 9001 et valorise la formation continue. Rejoignez un environnement stimulant, dédié au bien-être et à l'autonomie des patients. [-] Suivre 1                        - 3 sur 3 Page 1 sur            
             1 Lancer 4K Chargé(e) de Relation Client | Tanger (Maroc) Clinique La Vallée à Rabat recrute un(e) Chargé(e) de Relation Client expérimenté(e) avec au moins 5 ans d'expérience en c","Lancer 4K Chargé(e) de Relation Client | Tanger (Maroc) Clinique La Vallée à Rabat recrute un(e) Chargé(e) de Relation Client expérimenté(e) avec au moins 5 ans d'expérience en centre d'appel. Vos missions incluront le développement commercial, la ge",CDI,3
Hôtellerie / Restauration (métiers de)- Tourisme (métiers du)- Secteur Hôtellerie / Restauration								- Tourisme / Voyage / Loisirs,,,,"Responsable Technique - Marrakech Hôtellerie / Restauration (métiers de) - Tourisme (métiers du) - Secteur Hôtellerie / Restauration								- Tourisme / Voyage / Loisirs Confirmé (5 à 10 ans)                                     - Expert (10 à 20 ans) Marrakech et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Respect des règles Volonté de persuasion Rationalisme Flexibilité Besoin d'action Travail en équipe Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Dans le cadre du renforcement de ses équipes, une institution de référence accueillant du public recrute un Responsable Technique chargé de piloter et superviser l’ensemble des activités techniques liées à l’exploitation, à la maintenance et au développement de ses infrastructures. Rattaché à la Direction, vous garantissez la fiabilité des installations, la sécurité des personnes et des biens, ainsi que la conformité réglementaire des équipements et bâtiments. Vous contribuez également à l’amélior",confirmée (minimum 5 ans) dans un poste similaire.,CDI,6
Commercial Sédentaire (H/F)  (Chellalat ),FIRM,Autres Industries,Mohammédia (Maroc),"Emploi - FIRM Entreprise: FIRM Secteur: Autres Industries Description: Fort d'une expérience de plus de 40 ans dans les transports de fluides, FIRM (Fournitures Industrielles et Réalisations Mécaniques) est un acteur majeur sur le marché marocain dans la commercialisation de la robinetterie industrielle, le tube, les raccords et les accessoires.
Notre notoriété est avant tout liée à notre expertise dans le domaine et à l'assistance technique à nos clients. Fort d'une expérience de plus de 40 ans dans les transports de fluides, FIRM (Fournitures Industrielles et Réalisations Mécaniques) est un acteur majeur sur le marché marocain dans la commercialisation de la robinetterie industrielle, le tube, les raccords et les accessoires. Notre notoriété est avant tout liée à notre expertise dans le domaine et à l'assistance technique à nos clients. [-] Suivre 1                        - 2 sur 2 Page 1 sur            
             1 Lancer 4K Commercial Sédentaire (H/F)  (Chellalat ) | Mohammédia (Maroc) 2 Commercial Sédentaire (H/F) à Chellalat : Rejoignez FIRM, acteur majeur dans les transports de fluides, pour gérer la relation client, produire des offres commerciales et traiter les dossier","Lancer 4K Commercial Sédentaire (H/F)  (Chellalat ) | Mohammédia (Maroc) 2 Commercial Sédentaire (H/F) à Chellalat : Rejoignez FIRM, acteur majeur dans les transports de fluides, pour gérer la relation client, produire des offres commerciales et trai",CDI,0
Assistanat de Direction / Services Généraux- Banque (métiers de la)- Secteur Banque / Finance								- Comptabilité / Audit,,,,"Assistante  Financière (H/F) - Casablanca Assistanat de Direction / Services Généraux - Banque (métiers de la) - Secteur Banque / Finance								- Comptabilité / Audit Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 Minimum Respect des règles Distance émotionnelle Rationalisme Travail en équipe Besoin d'objectivité Flexibilité Implication au travail Organisation CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande société recrute une Assistante Financière . Poste : Vos responsabilités sont les suivantes : • Traiter le courrier postal et électronique ainsi que les appels téléphoniques • Suivre la circulation des parapheurs • Gérer les agendas électroniques et contrôler les échéances • Saisir, mettre en forme des documents divers (courriers, mails, rapports ….), les reproduire et les diffuser • Répondre aux demandes d'informations des autres services et de l'extérieur • Participer à la ges",,CDI,5
Assistanat de Direction / Services Généraux- Achats / Supply Chain- Secteur Automobile / Motos / Cycles								- Pétrole / Gaz,,,,"Attaché Parc - Mohammédia Assistanat de Direction / Services Généraux - Achats / Supply Chain - Secteur Automobile / Motos / Cycles								- Pétrole / Gaz Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum Flexibilité Extraversion Organisation Rationalisme Distance émotionnelle Respect des règles Besoin d'action CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande société recrute un Attaché Parc à Mohammédia . Poste : Attaché du parc Mohammedia: Validation et suivi des autorisations de Gasoil Validation des bons de livraison Gasoil Contrôle journalier de l'activité de la flotte par GPS Réalisation de l'état kilométrique mensuel Analyse de la consommation du Gasoil Profil recherché : De formation de bac+2 avec une expérience de 2 ans dans un poste similaire Maîtrise des outils informatiques Connaissance générale des techniques de gestion logistique Traits de personnalité souhaités : ",,CDI,5
Administration des ventes / SAV- Commercial / Vente / Export- Secteur Immobilier / Promoteur / Agence								- Import / Export / Négoce,,,,"Délégué Régional (H/F) - Oujda Administration des ventes / SAV - Commercial / Vente / Export - Secteur Immobilier / Promoteur / Agence								- Import / Export / Négoce Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Oujda et région                                     - Maroc Bac +4 Minimum
                                     - Master Recherche de nouveauté Respect des règles Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande entreprise leader dans son secteur, recrute un Délégué Régional à Oujda . Poste : Rattachés à la Direction, vos principales missions sont les suivantes : Animer le réseau des stations services de votre région; Assurer le développement du réseau à travers la création de nouvelles stations de service; Développer le volume des ventes des carburants et des lubrifiants; Améliorer en permanence la satisfaction des clients; Prospecter et apporter de nouveaux clients pour chaque segment de marché B TO B; Assurer une veille permanente de la ",,CDI,5
Production / Qualité / Sécurité / Maintenance- Travaux / Chantiers / BTP- Secteur Automobile / Motos / Cycles								- Electro-mécanique / Mécanique,,,,"Responsable Maintenance Véhicules – Parc - Mohammédia Production / Qualité / Sécurité / Maintenance - Travaux / Chantiers / BTP - Secteur Automobile / Motos / Cycles								- Electro-mécanique / Mécanique Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Tout le Maroc                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Respect des règles Rationalisme Besoin d'action Travail en équipe Besoin d'objectivité Flexibilité Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une entreprise leader dans son secteur, recrute un Responsable Maintenance Véhicules à Mohammédia . Poste : Vos responsabilités seront les suivantes: Assurer et gérer la maintenance préventive et curative des véhicules du parc (camions, citernes, etc.) ; Organiser le dispatching, le suivi et le contrôle des différentes interventions (mécanique, électrique, soudure, entretien…) ; Suivre en temps réel l’état de disponibilité de la flotte",,CDI,5
Assistanat de Direction / Services Généraux- Gestion / Comptabilité / Finance- Secteur Autres Industries								- Autres services,,,,"Assistante Administrative - Mohammédia Assistanat de Direction / Services Généraux - Gestion / Comptabilité / Finance - Secteur Autres Industries								- Autres services Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 Minimum
                                     - Ecole de commerce Respect des règles Distance émotionnelle Rationalisme Travail en équipe Besoin d'objectivité Flexibilité Implication au travail Organisation CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une entreprise leader dans son secteur, recrute une Assistante Administrative à Mohammedia . Poste : Rattachée à la direction générale, vos responsabilités sont les suivantes : Assurer l'accueil physique et téléphonique des interlocuteurs internes et externes Assurer les prises de rendez-vous Traiter le courrier postal et électronique ainsi que les appels téléphoniques Suivre la circulation des parapheurs Gérer les agendas électr",,CDI,5
Distribution (métiers de la)- Production / Qualité / Sécurité / Maintenance- Secteur Distribution								- Energie,,,,"Gérant de Station-Service - Béni Mellal Distribution (métiers de la) - Production / Qualité / Sécurité / Maintenance - Secteur Distribution								- Energie Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Béni Mellal et région                                     - Maroc Bac +3 Minimum Recherche de nouveauté Respect des règles Volonté de persuasion Distance émotionnelle Rationalisme Besoin d'action Improvisation Implication au travail CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande entreprise leader dans son secteur, recrute un Gérant de Station-Service à Béni Mellal . Poste : Rattaché(e) à la Direction Réseau Direct, vous êtes l'interlocuteur principal du client, Vos principales missions seront : • Gestion et fiabilisation des stocks carburants et lubrifiants • Etablissement des rapports journaliers et décadaires d’activités • Suivi et recouvrement des crédits clients • Etre le garant de la qualité de service • Etre le garant de la",,CDI,5
RH / Personnel / Formation                                                                 - Secteur Service public / Administration								- Autres services,,,,"Stagiaire en Ressources Humaines (H/F) - Casablanca RH / Personnel / Formation                                                                 - Secteur Service public / Administration								- Autres services Débutant (-1 an) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum
                                     - Formation professionnelle Recherche de nouveauté Extraversion Besoin d'objectivité Besoin d'autonomie Implication au travail Stage Télétravail : Non Publiée il y a 30 jours sur ReKrute.com -
                                Postulez avant le 14/05/2026 J'aime Entreprise : Poste : - Assister l'équipe RH dans leurs missions au quotidien. - Mettre à jour les tableaux de bords (Excel, logiciel interne) - Assurer le classement et l'archivage des dossiers Profil recherché : • Etudiant (e) en Bac+2 • Vous avez de fortes capacités d’adaptation, d’organisation et de gestion des priorités, Disponible dans l'immédiat Durée : 1 mois à plein temps. Alors, si vous retrouvez dans cet descriptif, ce poste est fait pour vous ! Traits de personnalité souhaités : Recherche ",,STAGE,5
Production / Qualité / Sécurité / Maintenance                                                                 - Secteur Automobile / Motos / Cycles,,,,"Ingénieur Maintenance - Tanger Production / Qualité / Sécurité / Maintenance                                                                 - Secteur Automobile / Motos / Cycles Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Tanger et région                                     - Maroc Bac +5 et plus 
                                     - Master Recherche de nouveauté Flexibilité Travail en équipe Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 31 jours sur ReKrute.com -
                                Postulez avant le 13/05/2026 J'aime Entreprise : Rejoignez un groupe dynamique du secteur automobile en tant qu’Ingénieur Maintenance. Ce poste est basé à Tanger Free Zone et offre l’opportunité d’évoluer dans un environnement industriel stimulant et en constante évolution. Poste : Dans le cadre du renforcement de nos équipes, nous recherchons un Ingénieur Maintenance dont la mission principale sera de garantir la disponibilité et la fiabilité des équipements de production et du matériel de support. Vous veill",,CDI,5
Comptable,Blue Box,Autres Industries,Casablanca (Maroc),"Emploi - Blue Box Entreprise: Blue Box Secteur: Autres Industries Postes proposés: 2 Description: Rejoindre BLUE BOX, c’est bien plus qu’intégrer un fournisseur d’équipements. C’est choisir un partenaire de carrière.

Chez BLUE BOX, nous sommes convaincus que la performance passe par l’humain. Spécialisés dans la fourniture d’équipements issus des marques les plus fiables du marché, nous accompagnons nos clients avec des solutions durables et personnalisées, qui assurent la continuité de leurs opérations sans interruption.
Mais au-delà de notre expertise technique, notre... [+] Rejoindre BLUE BOX, c’est bien plus qu’intégrer un fournisseur d’équipements. C’est choisir un partenaire de carrière. Chez BLUE BOX , nous sommes convaincus que la performance passe par l’humain. Spécialisés dans la fourniture d’équipements issus des marques les plus fiables du marché, nous accompagnons nos clients avec des solutions durables et personnalisées, qui assurent la continuité de leurs opérations sans interruption. Mais au-delà de notre expertise technique, notre véritable force, c’est notre équipe. Pourquoi nous rejoindre ? • Parce que chez BLUE BOX, vous ne serez jamais un simple maillon de la ","Lancer 4K Comptable | Casablanca (Maroc) 10 BLUE BOX recherche un Comptable pour rejoindre son équipe. Vos missions incluront la tenue de la comptabilité courante, le suivi de trésorerie, la préparation des déclarations fiscales et l'interface avec l",CDI,0
