Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Nous recherchons une assistante commerciale,Zeltra,Commercial / Vente,Marrakech,en communication et en relations interpersonnelles *les langue francaise et anglaises (tres importantes) (lire ecrire et parler) - la maitrise bien les outils informatiques. - preparation des devis et des situations des clients. - suivis paiement avec clients. - des,,CDI,29 Apr-17:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370374/Nous-recherchons-une-Assistante-Commerciale.html
Inventoriste,INVOLYS,Informatique / Multimédia / Internet,Casablanca,,souhaitable en inventaire physique des immobilisations - disponibilite immediate type de,CDI,29 Apr-17:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370371/Inventoriste.html
Chauffeur,INTERNATIONAL DUTTY FREE SHOPS,Commercial / Vente,Tanger,,au niveau de la conduite du transport de personnelles et ayant un permis d. n'hesitez pas de nous envoyer votre candidature,Anapec,29 Apr-17:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370368/CHAUFFEUR.html
Community manager,J'AIME ARDI,Marketing / Communication / Publicité / Rp,Berrechid,"maitrise de la suite adobe (photoshop, illustrator, indesign) bonne connaissance des reseaux sociaux et des tendances digitales creativite, sens du detail et reactivite gerer et animer les reseaux sociaux (facebook, instagram...)",,CDI,29 Apr-17:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363244/Community-Manager.html
Magasinier de chantier btp,Construction BTP,Construction / Btp,Rabat,experience souhaitee dans un poste similaire (chantier ou btp) connaissance des materiaux de construction sens de lorganisation et rigueur capacite a travailler en equipe maitrise des outils informatiques (un atout).,souhaitee dans un poste similaire (chantier ou btp) connaissance des materiaux de construction sens de lorganisation et rigueur capacite a travailler en equipe maitrise des outils informatiques (un atout).,A discuter,29 Apr-17:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365291/Magasinier-de-Chantier-BTP.html
Responsable supply chain,HOTIN,Comptabilité / Gestion / Audit,Casablanca,"- premiere experience en entrepot - rapidite, rigueur et esprit d'equipe - caces 1 apprecie conditions","en entrepot - rapidite, rigueur et esprit d'equipe - caces 1 apprecie conditions",A discuter,29 Apr-17:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371876/Responsable-supply-chain.html
Technicien spécialisé en charpente métallique,,Construction / Btp,Rabat,,,A discuter,29 Apr-17:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10351316/Technicien-Spécialisé-en-Charpente-métallique.html
Électricien qualifié bâtiment,Construction BTP,Construction / Btp,Rabat,diplome en electricite ou equivalent experience confirmee dans le,confirmee dans le,A discuter,29 Apr-17:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367190/Électricien-Qualifié-Bâtiment.html
Chef d’Équipe batiment,Construction BTP,Construction / Btp,Rabat,- experience confirmee en tant que chef dequipe dans le btp - sens de lorganisation et leadership - bonne connaissance des techniques de chantier - capacite a travailler sous pression et a gerer les priorites.,confirmee en tant que chef dequipe dans le btp - sens de lorganisation et leadership - bonne connaissance des techniques de chantier - capacite a travailler sous pression et a gerer les priorites.,A discuter,29 Apr-17:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367181/Chef-d’Équipe-batiment.html
Conducteur de travaux (h),,Construction / Btp,Rabat,.,,A discuter,29 Apr-17:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10355283/Conducteur-de-Travaux-(H).html
Conducteur de travaux charpente métallique,Construction BTP,Construction / Btp,Rabat,,"significative dans un poste similaire, idealement en charpente metallique - bonne maitrise des techniques de construction metallique - sens de lorganisation, leadership et esprit dequipe - maitrise des outils informatiques et logiciels de gestion de chantier.",A discuter,29 Apr-17:17,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368331/Conducteur-de-Travaux-–-Charpente-Métallique.html
Métreur (h),Construction BTP,Construction / Btp,Rabat,"formation en batiment, genie civil ou equivalent experience souhaitee dans un poste similaire bonne maitrise des outils informatiques (excel, logiciels de metres) rigueur, precision et sens de lorganisation.","souhaitee dans un poste similaire bonne maitrise des outils informatiques (excel, logiciels de metres) rigueur, precision et sens de lorganisation.",A discuter,29 Apr-17:17,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365644/Métreur-(H).html
Chef de chantier btp,,Construction / Btp,Rabat,bac+2 a bac+5 en genie civil ou equivalent experience de [x] annees dans un poste similaire bonne maitrise des techniques de construction sens de lorganisation et leadership capacite a gerer plusieurs equipes,de [x] annees dans un poste similaire bonne maitrise des techniques de construction sens de lorganisation et leadership capacite a gerer plusieurs equipes,A discuter,29 Apr-17:17,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10351907/Chef-de-chantier-btp.html
Responsable imports,Hydrosystemes,Construction / Btp,Casablanca,,"en imports -anglais operationnel requis -a l'aise sur excel et les outils de gestion (sage) -rigoureux(se), organise(e), avec un bon sens du relationne lieu du poste : en presentiel",CDI,29 Apr-17:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365614/Responsable-imports.html
Peintre auto / / agents d'entretien industriel,CRIT CASA,Industrie / Ingénierie / Energie,Casablanca,,obligatoire souhaitee dans un poste similaire,Interim,29 Apr-17:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371870/PEINTRE-AUTO-Agents-dentretien-industriel.html
Recrutement assistante administrative (ain chkaf),,Accueil / Secrétariat / Administration,Fès,,,A discuter,29 Apr-17:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368629/Recrutement-assistante-administrative-(ain-chkaf).html
Assistante de projet,event,Marketing / Communication / Publicité / Rp,Casablanca,"organisationnelles et grande rigueur - esprit dequipe, autonomie, sens de linitiative - aisance a loral et a lecrit, bonne orthographe - maitrise des outils bureautiques",dans une agence ou un environnement similaire appreciee - excellentes,CDI,29 Apr-17:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362329/Assistante-de-projet.html
Techniciens en construction metallique,entreprise,Entreprise / Import / Export,Casablanca,,,,29 Apr-17:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363153/TECHNICIENS-EN-CONSTRUCTION-METALLIQUE.html
Comptable junior,BEST PROFIL,Autre,Casablanca,,obligatoire -bon niveau en francais,Interim,29 Apr-16:59,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365994/Comptable-junior-casablanca.html
Agent de préparation de véhicules el jadida,BestProfil,Automobile,Marrakech,experience en preparation automobile ou nettoyage (souhaitee) permis de conduire obligatoire sens du detail et minutie dynamisme et rapidite rigueur et organisation capacite a travailler en equipe,en preparation automobile ou nettoyage (souhaitee) permis de conduire obligatoire sens du detail et minutie dynamisme et rapidite rigueur et organisation capacite a travailler en equipe,CDI,29 Apr-16:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367605/Agent-de-préparation-de-véhicules-EL-JADIDA.html
Conseiller livraison véhicules el jadida,BestProfil,Automobile,Marrakech,"bac a bac+2 (commerce, technique ou automobile) bonne connaissance des vehicules et des nouvelles technologies (un plus) excellente presentation et sens du service client aisance relationnelle et capacite a expliquer clairement pedagogie et patience organisation et rigueur permis de conduire obligatoire",client de qualite collaborer avec les equipes commerciales et atelier,CDI,29 Apr-16:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367574/Conseiller-livraison-véhicules-EL-JADIDA.html
Caissier (secteur automobile) el jadida,BestProfil,Automobile,Marrakech,"bac a bac+2 en gestion, comptabilite ou commerce experience en caisse dans le secteur d'automobile est une exigence. bonne maitrise des outils informatiques sens de laccueil et bon relationnel rigueur, organisation et fiabilite capacite a gerer le stress et les flux clients","en caisse dans le secteur d'automobile est une exigence. bonne maitrise des outils informatiques sens de laccueil et bon relationnel rigueur, organisation et fiabilite capacite a gerer le stress et les flux clients",CDI,29 Apr-16:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367551/CAISSIER-(SECTEUR-AUTOMOBILE)-EL-JADIDA.html
Secrétaire/assitant(e) ville verte,,Santé / Médical,Bouskoura,,dans le,,29 Apr-16:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371854/SecrétaireAssitant(e)-Ville-Verte.html
Commercial terrain,,Commercial / Vente,Casablanca,"- experience confirmee en vente terrain (idealement dans lagroalimentaire) - bon sens du relationnel et de la negociation - dynamique, autonome et oriente resultats conditions : - remuneration attractive : fixe + variable - evolution possible selon performances si vous etes motive(e) et pret(e) a relever un nouveau challenge, merci denvoyer votre candidature.","confirmee en vente terrain (idealement dans lagroalimentaire) - bon sens du relationnel et de la negociation - dynamique, autonome et oriente resultats conditions : - remuneration attractive : fixe + variable - evolution possible selon performances si vous etes motive(e) et pret(e) a relever un nouveau challenge, merci denvoyer votre candidature.",A discuter,29 Apr-16:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368618/Commercial-terrain.html
Agent des operations maritimes et aeriennes,,Transport / Achat / Logistique,Casablanca,,d'un an ou plus dans le meme poste maitrise des documents maritimes et aeriennes des connaissances dans la reglementation douaniere,CDI,29 Apr-16:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363212/Agent-des-operations-maritimes-et-aeriennes.html
Chargée administrative et de facturation gestion immobilière,OFFSHORING BACK OFFICE SERVICES MAROC,Comptabilité / Gestion / Audit,Tanger,"niveau bac+2 (gestion, administration, finance ou equivalent) fraichement diplome / avec ou sans experience bonne maitrise du francais, a loral comme a lecrit aisance avec les chiffres et excel sens de lorganisation, rigueur et capacite a travailler de maniere autonome - conditions : poste base a tanger","bonne maitrise du francais, a loral comme a lecrit aisance avec les chiffres et excel sens de lorganisation, rigueur et capacite a travailler de maniere autonome - conditions : poste base a tanger",A discuter,29 Apr-16:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368613/Chargée-administrative-et-de-facturation-–-gestion-immobilière.html
Technicien spécialisé en Électricité,PERLOVA SARL AU,Construction / Btp,Temara,,souhaitee dans le,A discuter,29 Apr-16:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371849/Technicien-Spécialisé-en-Électricité.html
Commercial btp,Intérim,Construction / Btp,Casablanca,,"dans un poste commercial terrain dans le secteur du btp. - excellentes qualites relationnelles et presentation soignee. - autonomie, sens du terrain et orientation resultats. - permis b obligatoire. poste base a casablanca",CDI,29 Apr-16:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10340765/Commercial-BTP-Casablanca.html
Senior back end engineer (node.js),AFRICA STAFFING,Informatique / Multimédia / Internet,Casablanca,"en architecture logicielle, conception d'api et optimisation des performances. une experience en react est un plus (non obligatoire). rigueur, autonomie, curiosite et capacite a evoluer dans un environnement exigeant et en croissance. pourquoi tu vas adorer : travailler sur un produit innovant avec un fort impact sur le marche du recrutement. evoluer dans une equipe jeune, inclusive et motivee. partager un environnement ou l'innovation, la qualite du code et la bonne humeur comptent vraiment ! pret(e) a rejoindre l'aventure ? envoie-nous ton cv et viens coder pour changer le recrutement !",en developpement logiciel.,CDI,29 Apr-16:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10339780/Senior-back-end-engineer-(NodeJs).html
Assistant(e) administratif(ve) & financier(e) /,Intérim,Autre,Casablanca,"formation en gestion, finance ou equivalent premiere experience dans un poste similaire souhaitee grande rigueur, sens de lorganisation et fiabilite bonne maitrise des outils bureautiques (excel notamment) bon relationnel et capacite a gerer les priorites localisation : casablanca poste a pourvoir rapidement","dans un poste similaire souhaitee grande rigueur, sens de lorganisation et fiabilite bonne maitrise des outils bureautiques (excel notamment) bon relationnel et capacite a gerer les priorites localisation : casablanca poste a pourvoir rapidement",CDI,29 Apr-16:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10351510/Assistant(e)-administratif(ve)-et-financier(e)-casablanca.html
